"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"uk	RT @mil_in_ua: 🇺🇦Десантники 80-ї бригади знищили артилерійський дивізіон ворога  Львівські десантники розбили підрозділ окупантів та взяли…"								
"uk	RT @CanisBruno: 🌻Аллюзія на Георгія Змеєборця. Я наскетчив цей арт одночасно з малюнком"	 який посилався на Геракла що роздирає пащу леву  #…							
"uk	Отже"	війна!🇺🇦#UkraineRussiaConflict #StopWar #UkraineUnderAttaсk #UkraineWar #UkraineRussianWar #Украина #Ukraine  Чи замислюєшся Ти	 чому у світі відбуваються війни	 чому люди шкодять один одному і чому нас оточує стільки зла? І чому Бог це допускає?👇  https://t.co/pwR5vws8HS					
"uk	RT @berdynskykh_k: Київ. Весна-літо 2022 #Ukraine🇺🇦 https://t.co/sB22OTi2tS"								
"ru	RT @Amura9111: Анджелина Джоли приехала во Львов Также она разделила обед с беженцами. И никакой звездной болезни🙌#AngelinaJolie #Lviv #WAR…"								
"ru	""RT @OnfireUkraine: """"Русские нацисты – убирайтесь из Казахстана!"""" Рашисты отгребают по полной – их яростно ненавидят уже по всему миру.#Save…"""								
"ru	Кадры нанесения авиационных ударов экипажами вертолётов Ка-52 по военным объектам ВСУ. Не долго осталось вам летать... #SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #StandWithUkraine️ #UkraineUnderAttack #ukrainewar #StopPutin #RussianWarCrimesInUkraine https://t.co/DEmjvtyc4o"								
"uk	RT @mil_in_ua: 🇺🇦Сьогодні на світанку біля острова Зміїний у Чорному морі було знищено два російські патрульно-десантні катери «Раптор»  ht…"								
"uk	RT @mil_in_ua: 🇵🇱#Польща передала 🇺🇦Україні понад дві сотні танків T-72 та бойові машини піхоти  Цих танків вистачить на оснащення двох тан…"								
"uk	RT @mil_in_ua: 🇺🇦Україна отримала ще 23 автомобілі швидкої допомоги від партнерів із різних країн світу  https://t.co/dSjji8SBKc  #Україна…"								
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @mil_in_ua: В тимчасово окупованому Росією місті Донецьк спалахнула місцева нафтобаза  Фото та відео пожежі публікують у соціальних мере…"								
"uk	Ідіть ебать себе"	 Путін! (Ukrainian)  #UkraineUnderAttack #PutinsWar #Ukraine #RussiaWarCrimes							
"uk	RT @by_Ukraine: Це відео - наочна демонстрація того"	 чому громадянські жителі Маріуполя	 у тому числі ті	 що ховаються на території заводу…					
"uk	RT @mil_in_ua: 🇺🇦🇺🇸 Сполучені Штати показали завантаження гусеничних бронетранспортерів M113 для України  Додатково США відправляють M113 у…"								
"ru	RT @S_vivat: Украина🇺🇦 Очередной танк российских оккупантов превратился в груду металлолома.  #Ukraine #UkraineRussianWar #UkraineWar #War…"								
"ru	RT @Za_nashihVZ: Американцы Начали Признавать: Россия Выиграет Войну"	 у Украины Нет Шансов - Американский Журналист #МояГодовщинаВТвиттере…							
"ru	""RT @ukrainenewstop: Полк """"#Азов"""" предоставил уникальные кадры нынешней операции по спасению людей в Мариуполе.  #Azov #Azovstal #Mariupol #…"""								
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України взяли на озброєння трофейну російську броньовану вантажівку Урал «Торнадо-У»  Автомобіль допомагає у…"								
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"ru	RT @XdWX5P8eHve9YXz: Если вы так хотите окончания войны"	 #Ukraine 	 мой вам совет: избавляйтесь от своих командиров и сдавайтесь. Мы знаем	…					
"ru	Русня хватит греться"	 отопительный сезон пора заканчивать	 уже май почти	 а не февраль #BuchaMassacre #MariupolGenocide #UkraineRussianWar #Ukraine #ClosetheSkyoverUkraine #Kyiv #Kharkiv #Belgorod #Russia #RussiaWarCrimes #Mariupol #Lviv #PutinWarCriminal #PutinWarCrimes  #Putler https://t.co/Q533a6fRfv					
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @mil_in_ua: 🇳🇴#Норвегія має намір поставити до 🇺🇦України гусеничні 155-мм самохідні гаубиці  Мова йде про артилерійські установки M109A3…"								
"ru	RT @SharleenLittle4: Сейчас главная проблема #Мариуполя – #геноцид. И дома там разрушают ради паники"	 поэтому не нужно помогать врагу.  Вла…							
"ru	RT @S_vivat: Бойцы ВСУ из ПТРК «Стугна-П» недалеко от Попасной Луганской области уничтожили что танк российских фашистов. #Ukraine #Ukraine…"								
"uk	не мовчи. 🇺🇦✊#Ukraine #StandWithUkraine #укртві https://t.co/hw5ygk5lxD"								
"ru	Американский ПЗРК Stinger и польский ПЗРК Piorun (Grom-М) на вооружении наших защитников.  🇺🇦Реальная Война  #Ukraine #UkraineRussiaWar #UkraineUnderAttaсk #UkraineRussia #Russia #PutinWarCriminal #PutinIsaWarCriminal #StopPutinNOW https://t.co/WC8u0FOBNG"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	На войне в Украине погиб молодой американец. Байден отреагировал https://t.co/uF0s2BL5Ww #Ukraine #Russia"								
"ru	Прямо в номере отеля рождается шедевр"	 молодые талантливые ребята и классные музыканты - Jerry Heil и группа Kalush спели песню для Анджелины Джоли со словами благодарности 🤗 #Ukraine https://t.co/VEEulyDB1s							
"uk	RT @mil_in_ua: 🇺🇦Українські десантники знищили російську вантажівку з боєприпасами  Автомобіль знаходився біля будинку в населеному пункті.…"								
"uk	Чернігів прекрасний і вільний 🇺🇦  #Chernihiv  #Ukraine  #Вистоїмо  #StrongTogether  #StopPutin #StopRussianAggression #RuSSiaKills #StandWithUkraine @ Чернігів"	 Алея Героїв https://t.co/cUF3ehk0S9							
"ru	RT @S_vivat: Русский фашизм (очень кратко). Российским великодержавным шовинистам-фашистам"	 путинистам	 имперцам и прочей рашистской нечест…						
"uk	RT @CanisBruno: 🌻Аллюзія на Георгія Змеєборця. Я наскетчив цей арт одночасно з малюнком"	 який посилався на Геракла що роздирає пащу леву  #…							
"uk	RT @mil_in_ua: 🇺🇦 Для бригад Збройних Сил України благодійники придбали сучасні позашляховики  Українські захисники отримають машини моделі…"								
"ru	RT @Za_nashihVZ: Ничего необычного. Просто один из российских губернаторов направился в зону проведения СВО поддержать подразделение"	 прибы…							
"uk	RT @UaPeacemaker: 📀🎥🎤🎧🎼  Don't F*ck with #Ukraine : Український співак Max Barskih присвятив нову пісню Збройним силам України та народному…"								
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України на східному напрямку нанесли удар по артилерії російських окупантів  Дрон зафіксував наслідки удару п…"								
"uk	RT @FCShakhtar: 🇺🇦 Зворушливий виступ Олі Полякової і танцюристів Софії Альби та Кирила Новікова в перерві благодійного матчу «Хайдук» – «Ш…"								
"ru	""IdeaBank UA - кредит наличными API https://t.co/1kDCmg7XLw #UA #Ukraine #взятикредитнакарточку #кредитонлайнукраина #онлайнкредитманивео #кредитонлайнукраинаcredit10 #кредитонлайнна2роки ИНФОРМАЦИЯ О БАНКЕ: АО """"Идея Банк""""– работает на https://t.co/PViZVWq7t9"""								
"ru	RT @Za_nashihVZ: 📆 Сегодня ровно 8 лет трагедии в Одессе.   ❗️2 мая 2014 года во время протестов в Одессе украинские националисты заживо со…"								
"uk	RT @mil_in_ua: 🇺🇦СБУ знешкодила ДРГ окупантів"	 яка планувала збити пасажирський літак з української зброї  Деталі: https://t.co/2cnBwoGuFf…							
"ru	#Russia #RussianUkrainianWar #RussianNatoWar #WarinUkraine #Ukraine #UkraineRussianWar #NatoRussianWar #nato #usa #bulgaria #Donbass  🇷🇺 🇷🇺 🇷🇺 🇷🇺 🇷🇺 🇷🇺 Работайте"	 братья! https://t.co/bF5D12Vnem							
"uk	RT @mil_in_ua: В тимчасово окупованому Росією місті Донецьк спалахнула місцева нафтобаза  Фото та відео пожежі публікують у соціальних мере…"								
"uk	RT @mil_in_ua: 🇺🇦У Київській області поліцейські знайшли покинуту техніку окупантів та російського кулеметника"	 який переховувався  Окупант…							
"uk	RT @mil_in_ua: 🇺🇦Збройні Сили України на східному напрямку"	 знищили склад з боєприпасами російських окупаційних військ  Ворог розмістив сві…							
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	На конкурсе песни Евровидение 2022 (10"	12	 14 мая с.г.)	 который пройдет в Турине (Италия)	 украинской песне Stefania пророчат огромный успех.   Букмекеры прогнозируют первое место Украине с огромным отрывом: вероятность победы составляет около 42%.   #Stefania #Kalush #Ukraine https://t.co/YYLKsrqtUO				
"ru	⚡️За Белгородом поднимается столб дыма. Вероятно"	 что-то прилетело 🧐 . #ukraine #standwithukraine https://t.co/gcwu7sy4pQ							
"ru	RT @Za_nashihVZ: Мнение простого ротного из донецких мобилизованных про миссию ООН и про переговоры с засевшими на Азовстали. #putin #russi…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	🇺🇦Рівень споживання електроенергії на Черкащині знизився значно менше"	 чим в цілому по країні	 а рівень оплати складає 80%. #Ukraine #UkraineUnderAttaсk #StopRussianAggression #StopPutin  ⬇️⬇️⬇️						
"ru	Украинские военные разгромили тяжелую технику оккупантов в селе Сулиговка под Изюмом Харьковской области перед очередной волной наступления.#SaveMariupol  #UkraineRussiaWar #Ukraine #HelpUkraine #StandWithUkraine️ #UkraineUnderAttack #ukrainewar #StopPutin #RussianWarCrimes https://t.co/RXS54ty22b"								
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"uk	RT @UkraineWarRuss1: 💬Президент України @ZelenskyyUa:  #Ukraine Дніпровський військовий госпіталь. Наші поранені захисники. Хлопці"	 одужуйт…							
"uk	На фото Джавеліна. Їй місяць. На сьогодні у моєму будинку 6 котів і 2 собаки. А все почалося з того"	 що 10 років тому я відповіла на повідомлення одного хлопця. І тепер	 як кажуть мої знайомі	 я глибоко заміжня. До речі	 в мене від того хлопця щей дитина є.  #Ukraine #cats #dog https://t.co/cidMm2wwAC				
"ru	На китайском государственном телеканале CCTV показали карту"	 демонстрирующую	 каким странам отойдут территории рф после ее развала. УПС... Очередной удар в спину россиянам от их воображаемых союзников. #своихнебросаем #Ukraine #Russians https://t.co/am8D19StRe						
"ru	#Российский солдат погиб во время съёмки видео  Он рассказывал о том"	 насколько успешно они выполнили основную задачу. Его жизнь оборвалась на полуслове… 😞  #stopwar #StopWarInUkraine #Peace #makelovenotwar #war #Ukraine #UkraineWar #UkraineRussiaWar #RussianSoldiers #Russian https://t.co/mpXUgIv6dQ							
"uk	RT @mil_in_ua: 🇺🇦🇺🇸 Сполучені Штати показали завантаження гусеничних бронетранспортерів M113 для України  Додатково США відправляють M113 у…"								
"uk	RT @aniteaart: вишивка  #украрт #арткозацтво #художниця #art #Україна #Ukraine https://t.co/JmRlEErkYT"								
"uk	RT @mil_in_ua: 🇺🇦 Українським армійцям та теробороні благодійники підготували 22 маневрові автівки  Джипи та пікапи шукали по всій Європі —…"								
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	#russianukrainwar #theaterwar #cake #Ukraine #theater #art #painting #freemasonry #margaritamakarova #theaterofwar #oiloncanvas 170x110cm #русскоукраинскийконфликт Украина #торт #театр #масонство #театрвоенныхдействий #искусство #живопись #арт #маргаритамакарова https://t.co/wvVZSXfyRS"								
"uk	RT @Viaches50993743: Благодійна організація відправила ЗСУ 16 позашляховиків JAC T8  🇺🇦 Для бригад Збройних Сил України благодійники придба…"								
"ru	Miloan UA - заявка https://t.co/Kk2RBfyXqM #UA #Ukraine #взятикредитонлайннакарточку #взятизайм #кредитнакартуукраина #онлайнгрошінакартку #кредитнакартуонлайнукраина Miloan UA – При помощи нашего сервиса"	 каждый желающий может получит https://t.co/kvVx4HMf0Y							
"ru	RT @Za_nashihVZ: Не в бровь"	 а в глаз	 Сергей Викторович.   Министр иностранных дел рассказал анекдот про эстонцев. #Ukraine #kyiv #ukraine…						
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @mil_in_ua: 🇺🇦Бійці 24-ї бригади ліквідували російських десантників на Луганщині  Семеро окупантів лишилися живими"	 всіх інших ліквідова…							
"uk	RT @unspeakable2402: Переживаю чи стане грошей у Анджеліни Джолі на оренду квартири у Львові. #AngelinaJolie #Lviv #Ukraine"								
"uk	RT @mil_in_ua: 🇺🇦Воїни-десантники знищили групу спеціального призначення російських окупантів на Донбасі  Окупанти прибули з Сибіру.  https…"								
"ru	RT @OccupiedKherson: Прямо сейчас в #Херсоне произошёл обстрел в черте города"	 работают точечно	 еще попали по #Чернобаевке	 трусятся дома	…				
"ru	RT @Za_nashihVZ: Мнение простого ротного из донецких мобилизованных про миссию ООН и про переговоры с засевшими на Азовстали. #putin #russi…"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"uk	RT @mil_in_ua: 🇺🇦Українські десантники знищили російську вантажівку з боєприпасами  Автомобіль знаходився біля будинку в населеному пункті.…"								
"uk	🇺🇸🇺🇦Палата представників Сполучених Штатів більшістю голосів ухвалила закон про ленд-ліз та захист демократії в Україні  Це рішення дозволить більш ефективно надавати зброю та боєприпаси Україні.  https://t.co/lEKVTJwo0Q  #Україна #Ukraine  #ArmUkraineNow #США"								
"uk	RT @mil_in_ua: 🇺🇦 Російське командування відправило на розвідку українських позицій безпілотники російської рятувальної служби  Безпілотник…"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦В США відвантажують чергову партію допомоги Україні  Цього разу це снаряди для гаубиць калібру 155 мм  Деталі: https://t…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @ArmedMaidan: Вічна память.  #StandWithUkraine #UkraineWar #Ukraine"								
"uk	ви бачили вже цю красу? #Eurovision #Ukraine https://t.co/WfZXEf79N9"								
"uk	""RT @tsapuralesia: ‼️Тури до Стамбулу на наступні вихідні ‼️ Дата виїзду: 07.05  🚍 """"Дивовижний Стамбул"""" на 5 днів"	" 2 нічні переїзди (один по…"""							
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	Отже"	війна!🇺🇦#UkraineRussiaConflict #Украина #StopWar #UkraineUnderAttaсk #UkraineWar #Ukraine #UkraineRussianWar  Чи замислюєшся Ти	 чому у світі відбуваються війни	 чому люди шкодять один одному і чому нас оточує стільки зла? І чому Бог це допускає?👇  https://t.co/ap5LGjtWD3					
"ru	""RT @S_vivat: Kosmos – Гімн """"Перамога"""" (словы: Віктар """"Лешы"""" Савіч). Батальён Кастуся Каліноўскага https://t.co/fREpBMNp7a Павяртайцеся жывы…"""								
"uk	RT @mil_in_ua: 🇺🇦 Українські військові показали"	 як звичайним дроном зробити групу російських окупантів небоєздатною  Деталі: https://t.co/…							
"ru	ФКС - Финансово-кредитный супермаркет UA https://t.co/INLbdPEiwZ #UA #Ukraine #грошізаймонлайн #кредит7украина #кредит10000онлайннакартуукраина #кредитионлайнукраїна #кокланкредит Финансово-кредитный супермаркет – финансовая компания"	 н https://t.co/6JXGji6NO7							
"uk	RT @mil_in_ua: США підтверджують візит начальника генштабу армії РФ Герасимова в Україну  Деталі: https://t.co/buUnXb7lvG #Україна #Ukraine"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	UnexBank   UA https://t.co/dAx2IIdvYu #UA #Ukraine #fltrcrhtlbn #взятикредитнакарточку #взятионлайнкредит #кредитонлайнукраина #kreditgroupвзятькредит UnexBank UA  – сервис онлайн-займов в Украине.   Преимущества продукта Кредит наличн https://t.co/6c4QtoUONs"								
"uk	RT @mil_in_ua: 🇺🇦🇧🇬 На болгарських виробничих потужностях ремонтуватимуть техніку Збройних Сил України  Президент України та прем’єр-мініст…"								
"ru	RT @S_vivat: Русский фашизм (очень кратко). Российским великодержавным шовинистам-фашистам"	 путинистам	 имперцам и прочей рашистской нечест…						
"uk	""RT @mil_in_ua: 🇩🇪Німеччина розглядає можливість передачі 🇺🇦Україні """"PzH 2000"""" Уряд Німеччини готується ухвалити рішення щодо передачі Украї…"""								
"ru	RT @S_vivat: Спецназ СБУ🇺🇦 уничтожил грузовик снабжения российских фашистов. #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/AV1B…"								
"uk	RT @mil_in_ua: 🇺🇦Україна отримала ще 23 автомобілі швидкої допомоги від партнерів із різних країн світу  https://t.co/dSjji8SBKc  #Україна…"								
"ru	Этой кошке есть чем гордиться - она выжила! Более того"	 она переживет еще многих оккупантов	 сотворивших такое с ее домом. #StandWithUkraine️  #StopRussianAggression  #StopPutinNOW #котики #Ukraine 🇺🇦 https://t.co/erqcfCF1is						
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України на східному напрямку нанесли удар по артилерії російських окупантів  Дрон зафіксував наслідки удару п…"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"uk	RT @mil_in_ua: 🇺🇦Воїни-десантники знищили групу спеціального призначення російських окупантів на Донбасі  Окупанти прибули з Сибіру.  https…"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦Сполучені Штати почали додаткові тренування військових Збройних Сил України на своїх військових об’єктах в Німеччині  Ця…"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦США підготували до 100 українських інструкторів для використання американських артсистем  Деталі: https://t.co/uNxze5Vx4…"								
"ru	""RT @Ukraine_Twi: Полк """"Азов"""" Киев продолжает уничтожать русских фашистов в районе села Гуляйполе"	" Запорожской области #Ukraine #Russia #War…"""							
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"uk	RT @mil_in_ua: В тимчасово окупованому Росією місті Донецьк спалахнула місцева нафтобаза  Фото та відео пожежі публікують у соціальних мере…"								
"ru	RT @S_vivat: За сутки 28 апреля ВСУ🇺🇦 поразили 15 воздушных целей врага: - 1 самолет (Су-34); - 5 крылатых ракет; - 9 БпЛА. #Ukraine #Ukrai…"								
"uk	RT @mil_in_ua: 🇺🇦Воїни-десантники знищили групу спеціального призначення російських окупантів на Донбасі  Окупанти прибули з Сибіру.  https…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	«Зоря"	 ты поубивала всех москалей» Ничего необычного	 просто детский праздник в семье правосеков. Но нацизма на Украине	 как нам доказывают	 нет. А это просто патриотическое воспитание. #putin #russia #armyofrussia #biden #ukraine #army #war #Србија #славаукраине https://t.co/SEoiqT2HmY				
"ru	RT @S_vivat: Дрон ВСУ🇺🇦 уничтожает оккупантов. #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/Xf5JMzQ8fo"								
"ru	RT @S_vivat: Крылья ВСУ🇺🇦 уничтожают российских оккупантов. #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/RsGbQtCUAI"								
"uk	Ідіть ебать себе"	 Путін! (Ukrainian)  #RussianWarCrimes #StopPutin #Ukraine #StopRussianAggression							
"uk	#ukraine рф налаштована на тривалу окупацію Херсона – британська розвідка https://t.co/LVxLNKe2kW"								
"uk	🇺🇦 «Україна буде іще сильнішою"	 буде цілісною європейською країною»  Сергій Кривцов – про війну	 благодійні матчі	 національну збірну та майбутнє України ⬇️  https://t.co/Ba6Aba9viw  #Shakhtar #Україна #Ukraine #StandWithUkraine					
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"uk	RT @mil_in_ua: 🇺🇦Збройні Сили України на східному напрямку"	 знищили склад з боєприпасами російських окупаційних військ  Ворог розмістив сві…							
"uk	Сьогоднішні реалії показують нам"	 що справжні супергерої не персонажі з фільмів  Marvel	 а українські воїни. Їх супер сила: мужність	 героїзм та професіоналізм. А натхнення вони черпають з нашої з вами підтримки. Слава Україні! Слава нашим українським ГЕРОЯМ!💙💛💪💪💪 #ukraine https://t.co/kC52JLiF9t					
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"uk	RT @mil_in_ua: 🇵🇱#Польща передала 🇺🇦Україні понад дві сотні танків T-72 та бойові машини піхоти  Цих танків вистачить на оснащення двох тан…"								
"uk	RT @mil_in_ua: 🇺🇦🇺🇸 Сполучені Штати показали завантаження гусеничних бронетранспортерів M113 для України  Додатково США відправляють M113 у…"								
"ru	Военные на Азовстали просят Эрдогана об экстракции в Турцию https://t.co/6XtxlQBQzX #Russia #Ukraine"								
"uk	RT @mil_in_ua: 🇺🇦Українські воїни з переносного зенітно-ракетного комплексу знищили російський безпілотник «Орлан-10»  Дрон допомагав ворож…"								
"ru	""https://t.co/6BO7RXLp5p  Мельник: """"Шредер – воплощение политической продажности""""  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика"""								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦США підготували до 100 українських інструкторів для використання американських артсистем  Деталі: https://t.co/uNxze5Vx4…"								
"ru	Как россияне могут быть столь жестокими? И что им сделали мирные жители? Пожалуйста"	 спасите мариупольцев от этих убийц.  Please save Mariupol. #Mariupol #SaveMariupol #StandUpForUkraine #StandWithUkraine #ArmUkraineNow #ukraine #SaveUkraine @UNHumanRights @NATO @POTUS https://t.co/Uiv7MGTaJs							
"uk	RT @mil_in_ua: 🇺🇸🇺🇦В США відвантажують чергову партію допомоги Україні  Цього разу це снаряди для гаубиць калібру 155 мм  Деталі: https://t…"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	Нуланд: Наша цель — стратегическое поражение Путина. Мы хотим"	 чтобы эта военная авантюра стоила ему непомерно дорого https://t.co/Y4GBh28QkE #Ukraine #Russia							
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"uk	""Бійці легіону """"Свобода России"""" вже прибули на Донбас  Деталі: https://t.co/jzeMwuu6ku  #Україна #Ukraine"""								
"uk	RT @mil_in_ua: 🇳🇴#Норвегія має намір поставити до 🇺🇦України гусеничні 155-мм самохідні гаубиці  Мова йде про артилерійські установки M109A3…"								
"uk	Зазначимо"	 що «Домівка врятованих тварин» розташована на вул. Олекси Довбуша	 24 у Львові. Детальніше про тваринок	 які прибувають у притулок	 можна дізнатися за номером телефону: 098 734 96 33 (Олена).  #Львів #Lviv #Ukraine #Україна https://t.co/i3Q9l7Bwkk				
"uk	RT @mil_in_ua: 🇺🇦У Київській області поліцейські знайшли покинуту техніку окупантів та російського кулеметника"	 який переховувався  Окупант…							
"ru	https://t.co/LWh7zd6VQV  Оружие из США доставят в Украину в течение суток  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика"								
"ru	Оккупанты в Днепрорудном похитили двух британских волонтеров – AP https://t.co/gudC4wOPZn #Russia #Ukraine"								
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @S_vivat: Артиллерия ВСУ🇺🇦 уничтожила батарею РСЗО «Ураган» российских оккупантов вместе с машинами обеспечения и живой силой путинских…"								
"ru	🇱🇹🇺🇦 Военнослужащие литовского батальона в Украине попали под обстрел.😱 Место произошедшего не указано.  #WeAreNATO #NATO #volunteer #volunteers #Lithuania #ARMY #Ukraine #UkraineRussianWar #WARINUKRAINE #defendUkraine https://t.co/Q99F844GeN"								
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	Просто обожнюю своє місто"	 своїх колег та їх оптимізм. Дніпро - ти неймовірне 💜 #Ukraine							
"uk	RT @Korona_news2022: 💪💙💛 Don't F*ck with #Ukraine : Український співак @MaxBarskih   присвятив нову пісню Збройним силам України та народно…"								
"uk	RT @vip_vetal17: Офіційний представник ООН повідомив"	 що Анджеліна Джолі відвідала 🇺🇦 Україну не з місією ОНН	 а з власної волі.  #Angelina…						
"uk	RT @mil_in_ua: 🇺🇦 NLAW та бронетехніка російських військових в Україні  YouTube: https://t.co/dR7NJCQz2q  #Україна #Ukraine https://t.co/sK…"								
"ru	RT @Za_nashihVZ: Ничего необычного. Просто один из российских губернаторов направился в зону проведения СВО поддержать подразделение"	 прибы…							
"ru	""RT @OnfireUkraine: На этих спутниковых снимках видно полное разрушение завода """"Азовсталь"""" в Мариуполе.#SaveMariupol  #UkraineRussiaWar #Ukr…"""								
"ru	RT @berdynskykh_k: Сегодня в Киеве с визитом генеральный секретарь ООН и сегодня впервые за три недели в Киеве снова были слышны взрывы. Во…"								
"ru	RT @ukrainenewstop: ❗️#Кадыровцы (#Россия"	 #Чечня) украли сельскохозяйственную технику John Deere @JohnDeere в #Мелитополе. 2 новых флагман…							
"uk	RT @FCShakhtar_ua: ✈️ 🇭🇷 «Шахтар» прибув до Спліта на благодійний матч з «Хайдуком».  Гра в межах Shakhtar Global Tour for Peace in #Ukrain…"								
